Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM Forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
25-03-22 15:45;0.00:15:00;Offshore;Federal;Elia;;523.5;7.98;1334.9;;;;;;;388.47;0.1;1022.44;2254.4;;0
25-03-22 15:30;0.00:15:00;Offshore;Federal;Elia;;495.89;6.71;1264.35;;;;;;;370.05;0.1;1001.36;2254.4;;0
25-03-22 15:15;0.00:15:00;Offshore;Federal;Elia;;465.02;3.76;1211.66;;;;;;;359.03;0.1;980.56;2254.4;;0
25-03-22 15:00;0.00:15:00;Offshore;Federal;Elia;;434.38;1.55;1187.88;;;;;;;343.02;0.1;961.65;2254.4;;0
25-03-22 14:45;0.00:15:00;Offshore;Federal;Elia;;411.39;1.46;1157.65;;;;;;;318.35;0.1;941.39;2254.4;;0
25-03-22 14:30;0.00:15:00;Offshore;Federal;Elia;;399.91;1.37;1127.95;;;;;;;295.57;0.1;921.42;2254.4;;0
25-03-22 14:15;0.00:15:00;Offshore;Federal;Elia;;383.17;1.29;1098.78;;;;;;;282.35;0.1;899.13;2254.4;;0
25-03-22 14:00;0.00:15:00;Offshore;Federal;Elia;;358.73;1.21;1076.67;;;;;;;259.13;0.1;873.21;2254.4;;0
25-03-22 13:45;0.00:15:00;Offshore;Federal;Elia;;339.26;1.18;1043;;;;;;;244.73;0.1;838.65;2254.4;;0
25-03-22 13:30;0.00:15:00;Offshore;Federal;Elia;;318.97;1.09;926.19;;;;;;;221.85;0.1;805.01;2254.4;;0
25-03-22 13:15;0.00:15:00;Offshore;Federal;Elia;;296.27;0.59;812.43;;;;;;;200.27;0.1;771.56;2254.4;;0
25-03-22 13:00;0.00:15:00;Offshore;Federal;Elia;;275.12;0.1;778.26;;;;;;;181.7;0.1;736.56;2254.4;;0
25-03-22 12:45;0.00:15:00;Offshore;Federal;Elia;;276.64;0.1;770.19;;;;;;;188.52;0.1;726.98;2254.4;;0
25-03-22 12:30;0.00:15:00;Offshore;Federal;Elia;;275.57;0.1;757.38;;;;;;;196.63;0.1;715.29;2254.4;;0
25-03-22 12:15;0.00:15:00;Offshore;Federal;Elia;;275.52;0.1;738.24;;;;;;;198.11;0.1;703.76;2254.4;;0
25-03-22 12:00;0.00:15:00;Offshore;Federal;Elia;;274.08;0.1;722.27;;;;;;;193.8;0.1;698.82;2254.4;;0
25-03-22 11:45;0.00:15:00;Offshore;Federal;Elia;;272.4;0.1;707.21;;;;;;;191.48;0.1;693.94;2254.4;;0
25-03-22 11:30;0.00:15:00;Offshore;Federal;Elia;;269.3;0.1;694.55;;;;;;;190.26;0.1;682.32;2254.4;;0
25-03-22 11:15;0.00:15:00;Offshore;Federal;Elia;;272.96;0.1;684.79;;;;;;;188.86;0.1;673.01;2254.4;;0
25-03-22 11:00;0.00:15:00;Offshore;Federal;Elia;;276.78;0.1;674.13;;;;;;;190.59;0.1;663.8;2254.4;;0
25-03-22 10:45;0.00:15:00;Offshore;Federal;Elia;;280.16;0.1;664.58;;;;;;;191.21;0.1;654.69;2254.4;;0
25-03-22 10:30;0.00:15:00;Offshore;Federal;Elia;;263.32;0.1;646.61;;;;;;;192.27;0.1;641.92;2254.4;;0
25-03-22 10:15;0.00:15:00;Offshore;Federal;Elia;;253.45;0.1;642.22;;;;;;;206.89;0.1;628.53;2254.4;;0
25-03-22 10:00;0.00:15:00;Offshore;Federal;Elia;;253.54;0.1;636.84;;;;;;;205.33;0.1;616.67;2254.4;;0
25-03-22 09:45;0.00:15:00;Offshore;Federal;Elia;;255.52;0.1;613.19;;;;;;;212.74;0.1;611.65;2254.4;;0
25-03-22 09:30;0.00:15:00;Offshore;Federal;Elia;;246.52;0.1;597.79;;;;;;;216.32;0.59;615.72;2254.4;;0
25-03-22 09:15;0.00:15:00;Offshore;Federal;Elia;;235.08;0.1;585.82;;;;;;;214.59;0.61;624.01;2254.4;;0
25-03-22 09:00;0.00:15:00;Offshore;Federal;Elia;;229.26;0.1;589.32;;;;;;;209.44;1.1;626.67;2254.4;;0
25-03-22 08:45;0.00:15:00;Offshore;Federal;Elia;;231.96;1.11;591.6;;;;;;;207.58;1.19;621.31;2254.4;;0
25-03-22 08:30;0.00:15:00;Offshore;Federal;Elia;;232.59;1.28;591.85;;;;;;;205.73;1.28;620.74;2254.4;;0
25-03-22 08:15;0.00:15:00;Offshore;Federal;Elia;;229.14;1.39;587.91;;;;;;;203.64;1.39;625.66;2254.4;;0
25-03-22 08:00;0.00:15:00;Offshore;Federal;Elia;;220.03;1.48;574.72;;;;;;;202.07;1.5;634.12;2254.4;;0
25-03-22 07:45;0.00:15:00;Offshore;Federal;Elia;;217.75;3.69;554.09;;;;;;;199.03;1.58;639.39;2254.4;;0
25-03-22 07:30;0.00:15:00;Offshore;Federal;Elia;;217.8;6.23;553.76;;;;;;;197.54;3.73;641.8;2254.4;;0
25-03-22 07:15;0.00:15:00;Offshore;Federal;Elia;;209.33;7.26;560.53;;;;;;;196.65;3.98;635.23;2254.4;;0
25-03-22 07:00;0.00:15:00;Offshore;Federal;Elia;;209.7;4.28;567.36;;;;;;;196.37;3.65;629.42;2254.4;;0
25-03-22 06:45;0.00:15:00;Offshore;Federal;Elia;;223.44;4.04;559.72;;;;;;;200.59;1.57;648.02;2254.4;;0
25-03-22 06:30;0.00:15:00;Offshore;Federal;Elia;;229.71;3.66;576.88;;;;;;;212.08;3.55;668.1;2254.4;;0
25-03-22 06:15;0.00:15:00;Offshore;Federal;Elia;;236.33;1.49;583.25;;;;;;;209.37;3.78;681.68;2254.4;;0
25-03-22 06:00;0.00:15:00;Offshore;Federal;Elia;;239.04;1.4;588.01;;;;;;;211.18;4.39;696.31;2254.4;;0
25-03-22 05:45;0.00:15:00;Offshore;Federal;Elia;;238.78;1.41;592.79;;;;;;;217.2;6.95;711.72;2254.4;;0
25-03-22 05:30;0.00:15:00;Offshore;Federal;Elia;;242.55;1.42;597.6;;;;;;;204.99;7.69;728.5;2254.4;;0
25-03-22 05:15;0.00:15:00;Offshore;Federal;Elia;;241.99;1.39;600.66;;;;;;;201.31;8.46;741.06;2254.4;;0
25-03-22 05:00;0.00:15:00;Offshore;Federal;Elia;;234.94;1.37;605.51;;;;;;;197.03;8.18;746.15;2254.4;;0
25-03-22 04:45;0.00:15:00;Offshore;Federal;Elia;;231.63;1.35;610.39;;;;;;;200.24;6.99;751.27;2254.4;;0
25-03-22 04:30;0.00:15:00;Offshore;Federal;Elia;;230.66;1.37;615.29;;;;;;;203.89;3.97;756.41;2254.4;;0
25-03-22 04:15;0.00:15:00;Offshore;Federal;Elia;;230.6;1.41;619.83;;;;;;;207.58;3.57;761.57;2254.4;;0
25-03-22 04:00;0.00:15:00;Offshore;Federal;Elia;;227.18;1.44;612.14;;;;;;;213.71;1.5;768.04;2254.4;;0
25-03-22 03:45;0.00:15:00;Offshore;Federal;Elia;;239.72;1.4;635.46;;;;;;;217.52;1.46;793.8;2254.4;;0
25-03-22 03:30;0.00:15:00;Offshore;Federal;Elia;;249;1.43;661.65;;;;;;;221.38;1.44;822.57;2254.4;;0
25-03-22 03:15;0.00:15:00;Offshore;Federal;Elia;;258.65;1.49;680.39;;;;;;;225.29;1.49;852.64;2254.4;;0
25-03-22 03:00;0.00:15:00;Offshore;Federal;Elia;;261.61;1.4;701.15;;;;;;;234.42;1.53;877.85;2254.4;;0
25-03-22 02:45;0.00:15:00;Offshore;Federal;Elia;;267.51;1.27;721.96;;;;;;;244.42;3.63;889.09;2254.4;;0
25-03-22 02:30;0.00:15:00;Offshore;Federal;Elia;;280.57;1.15;757.58;;;;;;;255.64;3.81;919.04;2254.4;;0
25-03-22 02:15;0.00:15:00;Offshore;Federal;Elia;;296.68;1.19;797.67;;;;;;;265.77;4;949.64;2254.4;;0
25-03-22 02:00;0.00:15:00;Offshore;Federal;Elia;;310.35;1.24;830.21;;;;;;;271.66;6.15;980.91;2254.4;;0
25-03-22 01:45;0.00:15:00;Offshore;Federal;Elia;;321.73;1.17;859.01;;;;;;;278.63;6.36;1011.21;2254.4;;0
25-03-22 01:30;0.00:15:00;Offshore;Federal;Elia;;333.4;1.21;883.56;;;;;;;283.07;4;1039.11;2254.4;;0
25-03-22 01:15;0.00:15:00;Offshore;Federal;Elia;;342.44;1.25;905;;;;;;;287.55;1.42;1072.2;2254.4;;0
25-03-22 01:00;0.00:15:00;Offshore;Federal;Elia;;353.52;1.26;930.36;;;;;;;291.24;1.23;1105.97;2254.4;;0
25-03-22 00:45;0.00:15:00;Offshore;Federal;Elia;;355.04;0.8;965.73;;;;;;;287.42;0.65;1133.42;2254.4;;0
25-03-22 00:30;0.00:15:00;Offshore;Federal;Elia;;368.75;1.28;1003.63;;;;;;;281.09;0.6;1156.63;2254.4;;0
25-03-22 00:15;0.00:15:00;Offshore;Federal;Elia;;377.49;1.32;1037.96;;;;;;;278.36;0.56;1167.96;2254.4;;0
25-03-22 00:00;0.00:15:00;Offshore;Federal;Elia;;373.88;1.36;1069.31;;;;;;;283.21;0.58;1173.13;2254.4;;0
24-03-22 23:45;0.00:15:00;Offshore;Federal;Elia;;384.2;1.4;1097.5;;;;;;;312.2;0.1;1233.06;2254.4;;0
24-03-22 23:30;0.00:15:00;Offshore;Federal;Elia;;384.09;1.42;1126.37;;;;;;;285.8;0.1;1231.86;2254.4;;0
24-03-22 23:15;0.00:15:00;Offshore;Federal;Elia;;404.01;1.43;1142.98;;;;;;;270.86;0.1;1234.15;2254.4;;0
24-03-22 23:00;0.00:15:00;Offshore;Federal;Elia;;414.63;3.36;1176.58;;;;;;;268.64;0.1;1248.69;2254.4;;0
24-03-22 22:45;0.00:15:00;Offshore;Federal;Elia;;422.38;3.41;1207.84;;;;;;;266.84;0.1;1284.3;2254.4;;0
24-03-22 22:30;0.00:15:00;Offshore;Federal;Elia;;441.01;3.46;1226.45;;;;;;;267.08;0.59;1333.11;2254.4;;0
24-03-22 22:15;0.00:15:00;Offshore;Federal;Elia;;460.4;3.52;1243.31;;;;;;;269.03;0.62;1356.1;2254.4;;0
24-03-22 22:00;0.00:15:00;Offshore;Federal;Elia;;480.8;1.34;1256.98;;;;;;;275.15;0.64;1411.46;2254.4;;0
24-03-22 21:45;0.00:15:00;Offshore;Federal;Elia;;462.85;1.32;1266.12;;;;;;;281.36;0.66;1469.25;2254.4;;0
24-03-22 21:30;0.00:15:00;Offshore;Federal;Elia;;446.12;1.31;1273.42;;;;;;;290.25;0.62;1489.22;2254.4;;0
24-03-22 21:15;0.00:15:00;Offshore;Federal;Elia;;430.25;1.29;1225.08;;;;;;;295.01;0.61;1533.19;2254.4;;0
24-03-22 21:00;0.00:15:00;Offshore;Federal;Elia;;414.41;0.74;1214.65;;;;;;;297.97;0.64;1581.62;2254.4;;0
24-03-22 20:45;0.00:15:00;Offshore;Federal;Elia;;412.8;0.65;1183.77;;;;;;;283.97;0.71;1610.34;2254.4;;0
24-03-22 20:30;0.00:15:00;Offshore;Federal;Elia;;416.06;0.1;1160.78;;;;;;;266.64;1.24;1628.68;2254.4;;0
24-03-22 20:15;0.00:15:00;Offshore;Federal;Elia;;415.98;0.1;1133.15;;;;;;;274.57;1.28;1649.99;2254.4;;0
24-03-22 20:00;0.00:15:00;Offshore;Federal;Elia;;415.4;0.1;1104.35;;;;;;;280.76;1.32;1655.37;2254.4;;0
24-03-22 19:45;0.00:15:00;Offshore;Federal;Elia;;391.26;0.1;1085.91;;;;;;;287.04;1.33;1670.19;2254.4;;0
24-03-22 19:30;0.00:15:00;Offshore;Federal;Elia;;370.67;0.1;1071.44;;;;;;;293.4;1.34;1678.9;2254.4;;0
24-03-22 19:15;0.00:15:00;Offshore;Federal;Elia;;352.99;0.1;1057.11;;;;;;;302.11;1.28;1656.13;2254.4;;0
24-03-22 19:00;0.00:15:00;Offshore;Federal;Elia;;336.43;0.1;1042.91;;;;;;;299.73;0.7;1752.67;2254.4;;0
24-03-22 18:45;0.00:15:00;Offshore;Federal;Elia;;325.8;0.1;1020.51;;;;;;;298.22;0.73;1754.85;2254.4;;0
24-03-22 18:30;0.00:15:00;Offshore;Federal;Elia;;311.35;0.1;999.99;;;;;;;282.82;0.77;1739.75;2254.4;;0
24-03-22 18:15;0.00:15:00;Offshore;Federal;Elia;;287.2;0.1;982.65;;;;;;;267.29;0.76;1676.88;2254.4;;0
24-03-22 18:00;0.00:15:00;Offshore;Federal;Elia;;256.68;0.1;961.06;;;;;;;249.84;0.73;1649.01;2254.4;;0
24-03-22 17:45;0.00:15:00;Offshore;Federal;Elia;;243.8;0.1;925.75;;;;;;;233.4;0.7;1613.69;2254.4;;0
24-03-22 17:30;0.00:15:00;Offshore;Federal;Elia;;228.07;0.1;891.34;;;;;;;224.9;0.66;1594.7;2254.4;;0
24-03-22 17:15;0.00:15:00;Offshore;Federal;Elia;;211.13;0.1;857.28;;;;;;;216.36;0.63;1592.63;2254.4;;0
